company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
Haus,Unclear,100,8/8/2022,food and beverage,"Healdsburg, CA",TechCrunch,Private,
BlockFi,Unclear,100,11/28/2022,Crypto,Jersey City,Decrypt,Private,
Pesto,Unclear,100,9/23/2022,"IT, future of work",San Francisco,Pesto announcement,Private,
Kitty Hawk,Unclear,100,9/21/2022,aerospace,Mountain View,CNBC,Private,
Subspace,Unclear,100,5/13/2022,Media/entertainment,Los Angeles,LinkedIn,Private,
Halcyon Health,Unclear,100,4/15/2022,Health Care,New York,Axios,Private,
Ahead,Unclear,100,4/14/2022,Health Care,"Santa Clara, CA",Bloomberg,Private,
100 Thieves,12,Unclear,1/10/2023,"eSports, Media",Los Angeles,Dexerto,Private,"More than a dozen employees were reportedly laid off in July. In January, the company laid off more employees."
Orbit,14,Unclear,8/12/2022,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
Cybereason,100,Unclear,6/1/2022,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
Progrexion,100,Unclear,6/7/2022,FinTech,Salt Lake City,Crunchbase News,Private,
Gem,100,Unclear,11/2/2022,Recruiting,San Francisco,Gem CEO,Private,
Glossier,104,Unclear,8/2/2022,Beauty,New York,Modern Retail,Private,
Stripe,1050,Unclear,11/3/2022,Fintech,San Francisco,Bloomberg,Private,
Curative,109,Unclear,9/20/2022,health diagnostics,Los Angeles,Digital Health,Private,
Noom,1095,Unclear,10/11/2022,Fitness/Digital Health,New York,TechCrunch,Private,
Homepoint,113,Unclear,11/17/2022,Proptech,"Greenville, SC",Phoenix Business Journal,Private,
Arc,13,Unclear,7/20/2022,HR Tech,Mountain View,LinkedIn,Private,
ChowNow,140,Unclear,12/14/2022,"Restaurant Tech, Food Tech","Playa Visa, California",Restaurant Business Online,Private,
Healthcare.com,149,Unclear,8/3/2022,Insurtech,"Miami, FL",Miami Inno,Private,
Finite State,16,Unclear,6/17/2022,Cybersecurity,Columbus,ColumbusInno,Private,
Rad Power Bikes,163,Unclear,7/21/2022,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
Cameo,167,Unclear,5/4/2022,Media/entertainment,Chicago,The Information,Private,
Weedmaps,175,Unclear,12/6/2022,"Marijuana, marketing","Irvine, CA",Business Insider,Private,
Orchard,180,Unclear,11/17/2022,Proptech,New York,Inman,Private,
Clyde,19,Unclear,4/25/2022,E-commerce,New York,External Spreadsheet,Private,
AvantStay,224,Unclear,11/9/2022,Travel,Los Angeles,Skift,Private,
Booking.com,226,Unclear,11/1/2022,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,
Aspire,23,Unclear,7/15/2022,Marketing tech,San Francisco,Business Insider,Private,
Gopuff,2300,Unclear,10/21/2022,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October."
Eaze,25,Unclear,6/2/2022,Cannabis,San Francisco,Business Insider,Private,
Nuro,310,Unclear,11/18/2022,Transportation,Mountain View,The Robot Report,Private,
Citizen,33,Unclear,1/11/2023,Surveillance,New York,TechCrunch,Private,
Balto,35,Unclear,12/12/2022,"Artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,
Hopin,370,Unclear,7/11/2022,Virtual Event,London,TechCrunch,Private,
Vial,40,Unclear,1/13/2023,"health care, clinical trials",San Francisco,Business Insider,Private,
Wistia,40,Unclear,11/10/2022,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,
FreshDirect,40,Unclear,8/25/2022,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
Adwerx,40,Unclear,7/12/2022,Digital Marketing,"Durham, North Carolina",Inman,Private,
Community,40,Unclear,6/22/2022,Social Media,Los Angeles,Business Insider,Private,
Esme Learning,40,Unclear,6/2/2022,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,
Luxury Presence,44,Unclear,1/17/2023,"proptech, advertising","Santa Monica, CA",Inman,Private,
Hubilo,45,Unclear,7/12/2022,Virtual Events,San Francisco,Inc42,Private,
Olive,450,Unclear,7/19/2022,Health Care,Columbus,Olive,Private,
Imperfect Foods,50,Unclear,8/1/2022,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,
Tempo Automation,54,Unclear,8/17/2022,automotive,San Francisco,San Francisco Business Times,Private,
Chili Piper,58,Unclear,11/17/2022,"enterprise software, productivity",New York,Chili Piper,Private,
On Deck,73,Unclear,8/4/2022,"Networking, business development",San Francisco,TechCrunch,Private,
Varo,75,Unclear,7/20/2022,Fintech,San Francisco,Axios,Private,
Nylas,80,Unclear,8/2/2022,"Software, Emails, API",San Francisco,Nylas,Private,
Career Karma,82,Unclear,1/12/2023,"Career planning, social network",San Francisco,TechCrunch,Private,
Rev.com,85,Unclear,10/7/2022,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,
The Zebra,90,Unclear,11/15/2022,"Insurance, fintech","Austin, TX",Coverager,Private,
Colossus,97,Unclear,5/20/2022,"Solar, Software",Massachusetts,Axios,Private,
OnlyFans,Unclear,Unclear,8/1/2022,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US
Talkdesk,Unclear,Unclear,5/19/2022,Customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off
StubHub,Unclear,Unclear,8/4/2022,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post
Cerebral,Unclear,Unclear,10/24/2022,Health Care,San Francisco,Wall Street Journal,Private,The company previously laid off employees in May.
Elemy,Unclear,Unclear,12/5/2022,Health Care,San Francisco,Behavioral Health Business,Private,The company previously laid off workers in July.
TikTok,Unclear,Unclear,7/18/2022,Social Media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S."
RateGenius,Unclear,Unclear,1/17/2023,"consumer lending, fintech","Austin, TX",AustinInno,Private,
GoCanvas,Unclear,Unclear,1/13/2023,"productivity, enterprise software","Reston, VA",GoCanvas CEO Viyas Sundaram,Private,
CoSchedule,Unclear,Unclear,1/13/2023,"productivity, marketing","Bismarck, ND",Inforum,Private,
Oyster,Unclear,Unclear,1/11/2023,"human resources, SaaS","Charlotte, NC",Oyster,Private,
Embark,Unclear,Unclear,1/11/2023,"Pet tech, health care",Boston,Embark CEP Ryan Boyko,Private,
Cart.com,Unclear,Unclear,1/10/2023,"E-commerce, DTC","Austin, TX",AustinInno,Private,
CreateMe Technologies,Unclear,Unclear,1/6/2023,"Product design, apparel","New City, NY",San Francisco Business Times,Private,
CareerArc,Unclear,Unclear,1/6/2023,"Human resources, recruiting",Los Angeles,CareerArc,Private,
Autograph,Unclear,Unclear,12/16/2022,"cryptocurrency, blockchain","Santa Monica, CA",Business Insider,Private,
Convene,Unclear,Unclear,12/10/2022,"Proptech, hospitality",New York,Convene CEO Ryan Simonetti,Private,
Autobooks,Unclear,Unclear,12/10/2022,"Fintech, payments",Detroit,Crain's Detroit Business,Private,
Zywave,Unclear,Unclear,12/7/2022,"Insurtech, cloud computing",Milwaukee,Milwaukee Business Journal,Private,
CircleCI,Unclear,Unclear,12/7/2022,"automation, IT",San Francisco,CircleCI,Private,
Route,Unclear,Unclear,12/5/2022,"Retail, e-commerce","Lehi, UT",Salt Lake Tribune,Private,
Inspectify,Unclear,Unclear,11/28/2022,Proptech,Seattle,Puget Sound Business Journal,Private,
Storyblocks,Unclear,Unclear,11/18/2022,"Media, video editing","Washington, DC",Storyblocks CEO,Private,
Metaplex,Unclear,Unclear,11/18/2022,Cryptocurrency,Chicago,AMBCrypto,Private,
Kandji,Unclear,Unclear,11/17/2022,"IT, software",San Diego,LinkedIn reports,Private,
Reforge,Unclear,Unclear,11/10/2022,HR Tech,San Francisco,Reforge CEO,Private,
Amobee,Unclear,Unclear,11/9/2022,"Adtech, digital marketing","Redwood City, CA",Amobee,Private,
Domino Data Lab,Unclear,Unclear,11/7/2022,"AI, big data",San Francisco,LinkedIn reports,Private,
Spreetail,Unclear,Unclear,10/27/2022,"retail, e-commerce","Lincoln, NE",Spreetail CEO,Private,
TigerGraph,Unclear,Unclear,10/25/2022,Analytics,"Redwood City, CA",Sources within the company,Private,
Clever Real Estate,Unclear,Unclear,10/19/2022,PropTech,St. Louis,St. Louis Business Journal,Private,
Noodle,Unclear,Unclear,10/18/2022,EdTech,New York,LinkedIn,Private,
Built In,Unclear,Unclear,10/5/2022,Networking,Chicago,LinkedIn,Private,
Instacart,Unclear,Unclear,9/24/2022,"delivery, e-commerce",San Francisco,The Information,Private,
DayTwo,Unclear,Unclear,9/15/2022,"Health care, nutrition","Walnut Creek, CA",Calcalistech,Private,
WorkRamp,Unclear,Unclear,9/15/2022,"Saas, enterprise software","San Carlos, CA",LinkedIn,Private,
Sundae,Unclear,Unclear,9/13/2022,PropTech,San Francisco,Confirmed by CB News from sources,Private,
Sama,Unclear,Unclear,9/12/2022,"AI, enterprise software",San Francisco,Sama,Private,
DreamBox Learning,Unclear,Unclear,9/9/2022,EdTech,Seattle,Geekwire,Private,
FullStory,Unclear,Unclear,9/8/2022,"SaaS, data",Atlanta,"Scott Voigt, CEO of FullStory",Private,
realtor.com,Unclear,Unclear,9/8/2022,Proptech,"Santa Clara, CA",SFGate,Private,
Fungible,Unclear,Unclear,8/29/2022,cryptocurrency,"Santa Clara, CA",Blocks & Files,Private,
Pix,Unclear,Unclear,8/24/2022,Foodtech,"Napa, CA",San Francisco Chronicle,Private,
People.ai,Unclear,Unclear,7/26/2022,"AI, Sales",San Francisco,LinkedIn,Private,
Capsule,Unclear,Unclear,7/21/2022,Health Care,New York,Crain's New York,Private,
InVision,Unclear,Unclear,7/21/2022,"Visual collaboration, Apps",New York,LinkedIn,Private,
Alto Pharmacy,Unclear,Unclear,7/14/2022,Health Care,San Francisco,LinkedIn,Private,
Spring,Unclear,Unclear,7/13/2022,E-commerce,San Francisco,Business Insider,Private,
Nextbite,Unclear,Unclear,7/8/2022,"Restaurant Tech, Food Tech",Denver,Business Insider,Private,
LetsGetChecked,Unclear,Unclear,7/2/2022,Health Care,New York,Business Post,Private,
Teleport,Unclear,Unclear,7/1/2022,Cloud Infrastructure,Oakland,Teleport,Private,
Modsy,Unclear,Unclear,6/29/2022,E-commerce,San Francisco,TechCrunch,Private,
Degreed,Unclear,Unclear,6/29/2022,EdTech,"Pleasanton, CA",LinkedIn,Private,
Keepe,Unclear,Unclear,6/10/2022,PropTech,Seattle,GeekWire,Private,
Liongard,Unclear,Unclear,6/10/2022,IT Infrastructure,Houston,CRN,Private,
Deep Instinct,Unclear,Unclear,6/8/2022,Cybersecurity,New York,Crunchbase News,Private,
ID.Me,Unclear,Unclear,6/7/2022,Identity verification,"McLean, Virginia",Business Insider,Private,
Clubhouse,Unclear,Unclear,6/3/2022,"Social Media, Audio",San Francisco,Bloomberg,Private,
Zwift,Unclear,Unclear,5/12/2022,Fitness,Long Beach,DC Rainmaker,Private,
Tripwire,Unclear,Unclear,5/12/2022,Security,Portland,OregonLive,Private,
Mural,Unclear,Unclear,5/6/2022,Product Design,San Francisco,Protocol,Private,
Thrasio,Unclear,Unclear,5/2/2022,E-commerce,"Walpole, MA",Insider,Private,
Workrise,Unclear,Unclear,4/5/2022,Marketplace,"Austin, TX",TechCrunch,Private,
F5,100,1,10/21/2022,"SaaS, enterprise software",Seattle,GeekWire,Public,
Affirm,Unclear,1,11/3/2022,"Fintech, loans",San Francisco,The Information,Public,
Freshworks,90,2,12/15/2022,"CRM, IT","San Mateo, CA",Inc42,Public,
Coursera,32,3,11/9/2022,Edtech,"Mountain View, CA",Coursera CEO,Public,
Outbrain,38,3,7/26/2022,Digital Marketing,New York,CTech,Public,
WalkMe,43,3,1/8/2023,"edtech, product management",San Francisco,Calcalistech,Public,
Amdocs,700,3,1/2/2023,"CRM, enterprise software","Chesterfield, MO",Calcalistech,Public,
Nutanix,270,4,8/10/2022,"data center, enterprise software",San Jose,SFGate,Public,
Varonis Systems,110,5,11/6/2022,Cybersecurity,New York,Calcalistech,Public,"Half of its layoffs happened at its R&D center in Israel, per reports. Layoffs affected 5% of employees."
Amazon,18000,5,1/5/2023,"E-commerce, SaaS",Seattle,Wall Street Journal,Public,
Zillow,300,5,10/26/2022,PropTech,Seattle,TechCrunch,Public,
Zendesk,350,5,11/7/2022,"Enterprise software, customer service",San Francisco,SFGate,Public,
Cisco,4100,5,11/16/2022,"enterprise software, SaaS","San Jose, CA",Silicon Valley Business Journal,Public,
TechTarget,60,5,12/8/2022,Marketing,"Newton, MA",MarketWatch,Public,
BlackLine,95,5,12/8/2022,Enterprise Software,Los Angeles,Seeking Alpha,Public,
Sweetgreen,Unclear,5,8/9/2022,"food and beverage, restaurants","Washington, DC",CNBC,Public,
Taboola,100,6,9/13/2022,Content marketing,New York,Calcalistech,Public,
Spotify,588,6,01/24/2023,Music,"Stockholm, Sweden",TechCrunch,Public,
DoorDash,1250,6,11/30/2022,"Food delivery, ecommerce",San Francisco,Reuters,Public,
Latch,30,6,5/13/2022,"Smart Home, Security",New York,TechCrunch,Public,
Teladoc Health,300,6,1/18/2023,"health care, telehealth","Purchase, NY",Digital Health,Public,
Definitive Healthcare,55,6,1/12/2023,"Health care, analytics","Framingham, MA",CMLVIZ,Public,
Rivian,840,6,7/28/2022,"electric vehicle, transportation","Irvine, CA",CNN,Public,
Vimeo,Unclear,6,1/4/2023,Media/entertainment,New York,Vimeo,Public,
nCino,100,7,1/18/2023,"Fintech, software","Wilmington, NC",Port City Daily,Public,
8x8,155,7,1/18/2023,"telecommunications, enterprise software","San Jose, CA",Channel Futures,Public,
Roku,200,7,11/17/2022,"media, streaming","Los Gatos, CA",Variety,Public,
Informatica,450,7,1/10/2023,"Big data, cloud computing","Redwood City, CA",Channel Futures,Public,
BigBear.ai,Unclear,7,9/8/2022,"data analytics, national defense","Columbia, MD",Baltimore Business Journal,Public,
Unity,509,8,1/17/2023,Video Games,San Francisco,WSJ,Public,
Asana,180,9,11/15/2022,"collaboration, enterprise software",San Francisco,Asana COO,Public,
Pear Therapeutics,25,9,7/25/2022,"Software, Biotech",Boston,MassDevice,Public,
DocuSign,Unclear,9,9/28/2022,e-signature,San Francisco,CNBC,Public,
ForeScout Technologies,100,10,1/10/2023,"cybersecurity, cloud services","San Jose, CA",Calcalistech,Public,
Shopify,1000,10,7/26/2022,E-commerce,"Ottawa, Canada",WSJ,Public,
Similarweb,120,10,11/16/2022,"AI, analytics",New York,Globes,Public,
iRobot,140,10,8/5/2022,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public,
Blend,200,10,4/19/2022,Fintech,San Francisco,HousingWire,Public,
Skillz,70,10,5/20/2022,Esports/Video Games,San Francisco,TechCrunch,Public,
Beachbody,70,10,1/27/2022,Fitness,"Santa Monica, CA",Club Industry,Public,
Zulily,99,10,5/16/2022,E-commerce,Seattle,GeekWire,Public,
Compass,Unclear,10,1/5/2023,PropTech,New York,Bloomberg,Public,
SoundHound,Unclear,10,1/5/2023,Conversational AI,"Santa Clara, CA",SoundHound,Public,
Blue Apron,Unclear,10,12/8/2022,"Grocery, e-commerce, delivery service",New York,Blue Apron,Public,
Core Scientific,Unclear,10,8/12/2022,"Blockchain, cryptocurrency",Austin,Blockworks,Public,
Kaltura,75,11,1/4/2023,"Developer APIs, enterprise software",New York,Globes,Public,
Twilio,800,11,9/14/2022,Enterprise Software,San Francisco,TechCrunch,Public,
Zuora,Unclear,11,12/6/2022,Cloud Infrastructure,"San Mateo, CA",MarketWatch,Public,
BuzzFeed,180,12,12/6/2022,"Media, news",New York,Variety,Public,
AppLovin,300,12,6/29/2022,"Mobile Apps, Developer Tools",Palo Alto,Silicon Valley Business Journal,Public,
DesktopMetal,Unclear,12,6/13/2022,3D Printing,"Burlington, Massachusetts",MarketWatch,Public,
Meta,11000,13,11/9/2022,Social media,"Menlo Park, CA",CNBC,Public,
Integral Ad Science,120,13,12/7/2022,"Data science, enterprise",New York,Integral Ad Science,Public,
BigCommerce,Unclear,13,12/15/2022,"Enterprise software, e-commerce","Austin, TX",MarketWatch,Public,
Elastic,Unclear,13,11/30/2022,"analytics, SaaS",San Francisco,Elastic,Public,
Lending Club,225,14,1/12/2023,"Fintech, banking",San Francisco,Bloomberg,Public,
Edgio,95,14,12/13/2022,"Cloud computing, web hosting","Tempe, AZ",Edgio,Public,
Life360,Unclear,14,1/12/2023,mobile apps,San Francisco,Life360 statement,Public,
Groupon,500,15,8/8/2022,"ecommerce, retail",Chicago,TechCrunch,Public,
Lyft,760,15,11/3/2022,Transportation,San Francisco,WSJ,Public,
Baakt,Unclear,15,12/8/2022,Cryptocurrency,"Alpharetta, GA",Baakt,Public,
ThredUp,Unclear,15,8/15/2022,"E-commerce, fashion","Oakland, CA",Retail Dive,Public,
Limeade,Unclear,15,1/11/2023,"Employee Benefits, HR Tech","Bellevue, WA",GeekWire,Public,
GoodRx,140,16,8/31/2022,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,
Astra,Unclear,16,11/8/2022,"aerospace, space","Alameda, CA",Astra CEO,Public,
Enjoy,400,18,6/30/2022,"E-commerce, Delivery",Palo Alto,Bloomberg,Public,
Opendoor,550,18,11/2/2022,Proptech,San Francisco,Opendoor CEO,Public,
Redfin,1332,19,11/9/2022,PropTech,Seattle,Bloomberg,Public,
Snap,1280,20,8/31/2022,Social media,"Venice, CA",The Verge,Public,
Pluralsight,400,20,12/12/2022,"EdTech, IT","Draper, UT",Pluralsight,Public,
Metromile,60,20,7/29/2022,"Insurtech, transportation",San Francisco,Crunchbase,Public,
GoHealth,800,20,8/11/2022,"health care, health insurance",Chicago,Chicago Sun Times,Public,
Sezzle,Unclear,20,3/10/2022,Fintech,Minneapolis,Reuters,Public,
Pagaya,Unclear,20,1/18/2023,"Fintech, AI",New York,Reuters,Public,
2U,Unclear,20,8/1/2022,Edtech,"Hyattsville, MD",Inside Higher Ed,Public,
Leafly,56,21,10/18/2022,Cannabis,Seattle,Leafly,Public,
Sonder,Unclear,21,6/10/2022,Hospitality,San Francisco,MarketWatch,Public,
Bird,138,23,6/7/2022,Transporation,Santa Monica,TechCrunch,Public,
Rent the Runway,Unclear,24,9/12/2022,"e-commerce, retail",New York,Wall Street Journal,Public,
TuSimple,350,25,12/21/2022,"electric vehicle, transportation",San Diego,TechCrunch,Public,
Qualtrics,Unclear,25,1/11/2023,"SaaS, enterprise software","Provo, UT",MarketWatch,Public,
PayPal,83,27,5/23/2022,Fintech,San Jose,The Information,Public,
Blend,Unclear,28,1/10/2023,"Fintech, proptech",San Francisco,Inman,Public,
Juul,400,30,11/10/2022,"consumer goods, vape pens",San Francisco,CNBC,Public,
Akili Interactive Labs,46,30,1/12/2023,Health care,Boston,Behavioral Health Business,Public,
Robinhood,1013,33,8/2/2022,Fintech,Menlo Park,Robinhood,Public,
Playtika,250,33,5/31/2022,Gaming,Tel Aviv,Globes,Public,"Closing studios in London, Montreal, and Los Angeles. Layoffs affected around 33% of employees."
Vroom,647,33,8/8/2022,"Auto, E-commerce",New York,Automotive News,Public,
Stitch Fix,Unclear,35,1/5/2023,"Ecommerce, Fashion",San Francisco,CNBC,Public,
Latch,115,37,8/2/2022,PropTech,"New York, NY",Latch,Public,
Sema4,750,39,11/14/2022,"AI, health care","Stamford, CT",MarketWatch,Public,
Root Insurance,467,40,11/9/2022,InsurTech,Columbus,Columbus Dispatch,Public,
Coinbase,2110,43,1/10/2023,Crypto,San Francisco,CNBC,Public,
Volta Charging,Unclear,54,10/21/2022,"Automotive, electric vehicles",San Francisco,Volta,Public,
Twitter,3740,70,1/5/2023,Social Media,San Francisco,The Information,Public,
Starry,Unclear,74,1/18/2023,"WiFi, hardware",Boston,SEC filings,Public,
RingCentral,80,Unclear,1/17/2023,"SaaS, meeting software","Belmont, CA",Barron's,Public,
Carvana,4000,Unclear,1/13/2023,"Automotive, Ecommerce",Tempe,WSJ,Public,
Adobe,100,Unclear,12/6/2022,"Marketing, software, SaaS","San Jose, CA",Bloomberg,Public,
Invitae,1000,Unclear,7/18/2022,"Health Care, Biotech",San Francisco,GenomeWeb,Public,
Microsoft,10000,Unclear,1/18/2023,Enterprise Software,Seattle,Microsoft,Public,
Alphabet,12000,Unclear,1/20/2023,"Big tech, internet services","Mountain View, CA",CNBC,Public,
Qualcomm,153,Unclear,12/22/2022,"Telecommunication, wireless",San Diego,San Diego Union-Tribune,Public,
Okta,24,Unclear,8/26/2022,"Enterprise software, Management information systems",San Francisco,Unleash,Public,
Beyond Meat,240,Unclear,10/14/2022,Foodtech,"Manhattan Beach, CA",CNBC,Public,
WeWork,300,Unclear,1/19/2023,"Real Estate, PropTech",New York,WeWork,Public,
Peloton,4084,Unclear,10/6/2022,Fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February"
UiPath,451,Unclear,11/15/2022,Artificial Intelligence,New York,MarketWatch,Public,
Netflix,480,Unclear,9/14/2022,Media/entertainment,Los Gatos,Deadline,Public,
Cue,558,Unclear,1/5/2023,Health Care,San Diego,360dx,Public,
Warby Parker,63,Unclear,8/8/2022,"Ecommerce, Fashion",New York City,Insider,Public,
HashiCorp,69,Unclear,1/11/2023,"cybersecurity, cloud infrastructure",San Francisco,Crunchbase News Reporting,Public,
Quanergy Systems,72,Unclear,12/14/2022,Autonomous vehicles,"Sunnyvale, CA",Silicon Valley Business Journal,Public,
Doma,825,Unclear,12/6/2022,"Insurtech, machine learning",San Francsico,Doma,Public,The company previously laid off workers in May.
Wayfair,870,Unclear,8/19/2022,"E-commerce, retail",Boston,Boston Globe,Public,
Salesforce,9090,Unclear,1/4/2023,"enterprise tech, analytics",San Francisco,New York Times,Public,
Oracle,Unclear,Unclear,8/1/2022,"SaaS, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off
LivePerson,Unclear,Unclear,9/15/2022,Customer service,New York,LinkedIn,Public,
Skillz,Unclear,Unclear,8/29/2022,"Mobile Apps, Gaming",San Francisco,Seeking Alpha,Public,
Blueboard,Unclear,Unclear,11/3/2022,Enterprise Software,San Francisco,LinkedIn reports,Private,